projsym,method,abstract,mpdsector,paneldesc,nstrains,sexes,pophints,intervention,ages,pistring,projyear
Ackerman1,"study archive","Lung, respiratory function, baseline and methacholine-challenged (several doses).",qtla,"QTL population",,f,"A/J x C3H/HeJ backcross",methacholine,7-8wks,"Ackerman KG, Churchill GA",2005
Ackert1,"body size and weight","Body weight, body length, body mass index. Aging study, 6mo, 12mo, 20mo.",pheno,inbred,32,both,,,"26, 52, 87 wks","Ackert-Bicknell C, Beamer WG, Rosen CJ, Sundberg JP",2008
Ackert1,DXA,"Body mass, fat mass, lean mass, bone mineral density and content, body area, bone area. Aging study, 6mo, 12mo, 20mo.",pheno,inbred,32,both,,,"26, 52, 87 wks","Ackert-Bicknell C, Beamer WG, Rosen CJ, Sundberg JP",2008
Albers1,"lipid profile","Cholesterol, HDL, non-HDL, triglycerides, phospholipids. 4h fast, plasma. Baseline vs. high-fat diet (6wks).",pheno,inbred,15,both,,"high-fat diet",6-14wks,"Albers JJ, Paigen B",1999
Albers1,"protein activity assessment","Phospholipid transfer protein activity. 4h fast.",pheno,inbred,15,both,,"high-fat diet",6-14wks,"Albers JJ, Paigen B",1999
Ankra-Badu1,"study archive","Body, organ, fat pad weights, weight gain, litter size.",qtla,"QTL population",,both,"M16i x L6 F2 intercross",,2-10wks,"Ankra-Badu GA, Churchill GA",2009
Attie1,"study archive","eQTL study of obesity and type 2 diabetes using microarray.",qtla,"QTL population",,both,"B6 x BTBR intercross.",,10wks,"Attie AD",2015
Bachmanov1,"intake monitoring","Water intake. Daily.",pheno,inbred,13,m,,,7-8wks,"Bachmanov AA",2011
Bachmanov1,"bottle choice test","Sodium chloride solution taste threshold. Fluid intake.",pheno,inbred,13,m,,,7-8wks,"Bachmanov AA",2011
Bachmanov1,"body weight",,pheno,inbred,13,m,,,7-8wks,"Bachmanov AA",2011
Bailey1,"study archive","Open field test. Locomotor activity, anxiety-related behavior.",qtla,"QTL population",,both,"C57BL/6J and C58/J",,8wks,"Bailey JS, Churchill GA",2008
Bautz1,"study archive","Plasma lipids. Cholesterol, triglycerides.",qtla,"QTL population",,both,I/LnJ,,12-14wks,"Bautz DJ, Broman KW",2013
Beamer1,"study archive","Bone volume.",qtla,"QTL population",,f,"C57BL/6J x CAST/EiJ intercross",,20wks,"Beamer WG",1999
Beamer2,"study archive","Bone morphology and strength, insulin-like growth factor 1.",qtla,"QTL population",,f,"C57BL/6J x C3H/HeJ intercross F2 progeny",,16wks,"Beamer WG",2001
Benavides1,"genotype assessment","Gpr84 allele assessment. PCR, sequencing.",pheno,"inbred w/CC8",58,both,,,6wks,"Benavides F, Guenet J",2013
Bennett1,"body weight","Body weight and growth curve from 4wks to 26wks weighed monthly.",pheno,ILSXISS,97,f,,,6wks,"Bennett B, Johnson TE",2005
Bennett2,"colony observation","Appearance, coat color.",pheno,ILSXISS,102,f,,,various,"Bennett B, Johnson TE",2005
Bennett3,"alcohol quantification","Blood alcohol concentrations after ethanol injection over time, acute functional ethanol tolerance.",pheno,"ILSXISS w/par",74,both,,ethanol,8-14wks,"Bennett B, Johnson TE",2007
Benoist1,"immune cell quantification","Regulatory T cells (Treg), thymus, spleen.",pheno,inbred,33,m,,,5-6wks,"Benoist C, Mathis D, Satpathy A, Feuerer M",2007
Berndt1,ventilator,"Airway resistance. Baseline vs. methacholine-challenged (several doses).",pheno,inbred,37,both,,methacholine,9-12wks,"Berndt A, Leme AS, Paigen B, Shapiro SD",2010
Berndt2,plethysmography,"Lung, respiratory function. Baseline vs. methacholine-challenged (several doses).",pheno,inbred,29,both,,methacholine,9-12wks,"Berndt A, Leme AS, Paigen B, Shapiro SD, Svenson KL",2010
Berndt2,ventilator,"Lung, respiratory function. Anesthetized forced oscillation. Baseline vs. methacholine-challenged (several doses).",pheno,inbred,29,both,,methacholine,9-12wks,"Berndt A, Leme AS, Paigen B, Shapiro SD, Svenson KL",2010
Berndt3,"metabolite quantification","Vitamin D concentration (serum).",pheno,inbred,18,m,,,11wks,"Berndt A",2011
Berndt4,histopathology,"Lung adenoma frequency and severity at 20mo. Tumor incidence, cancer, aging.",pheno,inbred,28,both,,,87wks,"Berndt A, Harrison DE, Paigen B, Sundberg JP",2011
Bodnar1,"intake monitoring","Food, caloric, water intake. Baseline and with sucrose (several concentrations). 24h test.",pheno,inbred,12,m,,sucrose,13-17wks,"Bodnar R, Kest B, Lewis S",2006
Bolivar1,"open field test","Locomotor activity and exploratory behavior. 5 min test in dark.",pheno,inbred,10,both,,,8-14wks,"Bolivar VJ",2000
Bolivar2,"fear conditioning test","Contextual fear, cued fear.",pheno,inbred,8,both,,,9-20wks,"Bolivar VJ",2001
Bolivar3,"monitoring system","Social interaction (study 1 and study 2).",pheno,inbred,7,m,,,8-12wks,"Bolivar VJ",2007
Bolivar4,"open field test","Locomotor activity, exploratory behavior, habituation scores. 15 min test.",pheno,inbred,14,m,,,8-12wks,"Bolivar VJ",2009
Boon1,"body weight","Influenza A (H5N1) virus (several doses) vs. baseline.",pheno,inbred,23,f,,"influenza A (H5N1) virus",6-9wks,"Boon AC, Webby RJ",2011
Boon1,"health assessment","Survival rate, influenza A (H5N1) virus (several doses). Strain H5N1 susceptibility score.",pheno,inbred,23,f,,"influenza A (H5N1) virus",6-9wks,"Boon AC, Webby RJ",2011
Bopp1,"health assessment","Susceptibility, Plasmodium berghei (malaria). Parasitemia in blood and distribution in brain, spleen, lungs, liver.",pheno,inbred,31,both,,"Plasmodium berghei",8-12wks,"Bopp SE, Ramachandran V, Wiltshire T, Winzeler EA",2010
Bouma1,"study archive","Fetal gonads microscopy study.",qtla,"QTL population",,m,"Dax1 XY backcross",,embryo,"Bouma GJ, Churchill GA",2005
